A;Landbouw, bosbouw en visserij;
20.1;Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van kunststof en synthetische rubber in primaire vorm;
20.11;Vervaardiging van industriële gassen;
20.12;Vervaardiging van kleur- en verfstoffen;
20.13;Vervaardiging van overige anorganische basischemicaliën ;
20.14;Vervaardiging van overige organische basischemicaliën ;
20.14.1;Vervaardiging van petrochemische producten;
20.14.9;Vervaardiging van overige organische basischemicaliën (geen petrochemische producten);
20.15;Vervaardiging van kunstmeststoffen en stikstofverbindingen;
20.16;Vervaardiging van kunststof in primaire vorm;
20.17;Vervaardiging van synthetische rubber in primaire vorm;
;;
20.2;Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën;
20.20;Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën;
;;
20.3;Vervaardiging van verf, vernis e.d., drukinkt en mastiek;
20.30;Vervaardiging van verf, vernis e.d., drukinkt en mastiek;
20.4;Vervaardiging van zeep, wasmiddelen, poets- en reinigingsmiddelen, parfums en cosmetica;
20.41;Vervaardiging van zeep, wasmiddelen, poets- en reinigingsmiddelen;
20.42;Vervaardiging van parfums en cosmetica;
;;
20.5;Vervaardiging van  overige chemische producten;
20.51;Vervaardiging van kruit en springstoffen en van lucifers;
20.52;Vervaardiging van lijm en bereide kleefmiddelen;
20.53;Vervaardiging van etherische oliën;
20.59;Vervaardiging van  overige chemische producten (rest);
20.6;Vervaardiging van synthetische en kunstmatige vezels;
20.60;Vervaardiging van synthetische en kunstmatige vezels;
;;
;;
21;Vervaardiging van farmaceutische grondstoffen en producten;
;;
21.1;Vervaardiging van farmaceutische grondstoffen;
21.10;Vervaardiging van farmaceutische grondstoffen;
;;
21.2;Vervaardiging van farmaceutische producten (geen grondstoffen);
21.20;Vervaardiging van farmaceutische producten (geen grondstoffen);
;;
;;
22;Vervaardiging van producten van rubber en kunststof;
;;
22.1;Vervaardiging van producten van rubber;
22.11;Vervaardiging van rubberbanden en loopvlakvernieuwing;
22.19;Vervaardiging van producten van rubber (geen banden);
;;
22.2;Vervaardiging van producten van kunststof;
22.21;Vervaardiging van platen, folie, buizen en profielen van kunststof;
22.22;Vervaardiging van verpakkingsmiddelen van kunststof;
22.23;Vervaardiging van kunststofproducten voor de bouw;
22.29;Vervaardiging van overige producten van kunststof;
;;
;;
23;Vervaardiging van overige niet-metaalhoudende minerale producten;
;;
23.1;Vervaardiging van glas en glaswerk;
23.11;Vervaardiging van vlakglas;
23.12;Vormen en bewerken van vlakglas;
23.13;Vervaardiging van holglas;
23.14;Vervaardiging van glasvezels;
23.19;Vervaardiging en bewerking van overig  glas,  inclusief technisch glaswerk;
;;
23.2;Vervaardiging van vuurvaste keramische producten;
23.20;Vervaardiging van vuurvaste keramische  producten;
;;
23.3;Vervaardiging van keramische producten voor de bouw ;
23.31;Vervaardiging van keramische tegels en plavuizen;
23.32;Vervaardiging van  keramische producten voor de bouw (geen tegels en plavuizen);
;;
23.4;Vervaardiging van overige keramische producten;
23.41;Vervaardiging van huishoudelijk en sieraardewerk;
23.42;Vervaardiging van sanitair aardewerk;
23.43;Vervaardiging van isolatoren en isolatiemateriaal van keramische stoffen;
23.44;Vervaardiging van overig technisch aardewerk;
23.49;Vervaardiging van overige keramische producten (rest);
;;
23.5;Vervaardiging van cement, kalk en gips;
23.51;Vervaardiging van cement;
23.52;Vervaardiging van kalk en gips;
;;
23.6;Vervaardiging van producten van beton, gips en cement;
23.61;Vervaardiging van producten voor de bouw van beton, kalkzandsteen en van cellenbeton;
23.61.1;Vervaardiging van producten voor de bouw van beton;
23.61.2;Vervaardiging van producten voor de bouw van kalkzandsteen en cellenbeton;
23.62;Vervaardiging van producten voor de bouw van gips;
23.63;Vervaardiging van stortklare beton;
23.64;Vervaardiging van mortel in droge vorm;
23.65;Vervaardiging van producten van vezelcement;
23.69;Vervaardiging van overige producten van beton, gips en cement;
;;
23.7;Natuursteenbewerking;
23.70;Natuursteenbewerking;
;;
23.9;Vervaardiging van overige niet-metaalhoudende minerale producten;
23.91;Vervaardiging van schuur-, slijp- en polijstmiddelen;
23.99;Vervaardiging van overige niet-metaalhoudende minerale producten (geen schuur-, slijp- en polijstmiddelen);
;;
;;
24;Vervaardiging van metalen in primaire vorm;
;;
24.1;Vervaardiging van ijzer en staal en van ferrolegeringen;
24.10;Vervaardiging van ijzer en staal en van ferrolegeringen;
;;
24.2 ;Vervaardiging van stalen buizen, pijpen, holle profielen en fittings daarvoor;
24.20;Vervaardiging van stalen buizen, pijpen, holle profielen en fittings daarvoor;
;;
24.3 ;Overige eerste verwerking van staal;
24.31;Koudtrekken van staven;
24.32;Koudwalsen van bandstaal;
24.33;Koudvervormen en koudfelsen;
24.34;Koudtrekken van draad;
;;
24.4;Vervaardiging van edelmetalen en  overige non-ferrometalen;
24.41;Vervaardiging van edelmetalen;
24.42;Vervaardiging van aluminium;
24.43;Vervaardiging van lood, zink en tin;
24.44;Vervaardiging van koper;
24.45;Vervaardiging van overige non-ferrometalen;
24.46;Smelten en raffineren van uranium;
;;
24.5;Gieten van metalen;
24.51;Gieten van ijzer ;
24.52;Gieten van staal;
24.53;Gieten van lichte metalen;
24.54;Gieten van overige  non-ferrometalen;
;;
;;
25;Vervaardiging van producten van metaal (geen machines en apparaten);
;;
25.1 ;Vervaardiging van metalen producten voor de bouw ;
25.11;Vervaardiging van metalen constructiewerken en delen daarvan;
25.12;Vervaardiging van metalen deuren, vensters en kozijnen;
;;
25.2;Vervaardiging van reservoirs van metaal en van ketels en radiatoren voor centrale verwarming ;
25.21;Vervaardiging van ketels en radiatoren voor centrale verwarming;
25.29;Vervaardiging van metalen tanks en reservoirs;
;;
25.3 ;Vervaardiging van stoomketels (geen ketels voor centrale verwarming);
25.30;Vervaardiging van stoomketels (geen ketels voor centrale verwarming);
25.4 ;Vervaardiging van wapens en munitie;
25.40;Vervaardiging van wapens en munitie;
;;
25.5 ;"Smeden, persen, stampen en profielwalsen van metaal; poedermetallurgie";
25.50;"Smeden, persen, stampen en profielwalsen van metaal; poedermetallurgie";
;;
25.6;"Oppervlaktebehandeling en bekleding van metaal; algemene metaalbewerking ";
25.61;Oppervlaktebehandeling en bekleding van metaal;
25.62;Algemene metaalbewerking;
;;
25.7;Vervaardiging van scharen, messen en  bestek, hang- en sluitwerk en gereedschap;
25.71;Vervaardiging van scharen, messen en bestek;
25.72;Vervaardiging van hang- en sluitwerk;
25.73;Vervaardiging van gereedschap;
;;
25.9;Vervaardiging van overige producten van metaal;
25.91;Vervaardiging van stalen vaten e.d.;
25.92;Vervaardiging van verpakkingsmiddelen van licht metaal;
25.93;Vervaardiging van artikelen van draad en van kettingen en veren;
25.94;Vervaardiging van bouten, schroeven en moeren;
25.99;Vervaardiging van overige producten van metaal (rest);
;;
;;
26;Vervaardiging van computers en van elektronische en optische apparatuur;
;;
26.1;Vervaardiging van elektronische componenten en printplaten;
26.11;Vervaardiging van elektronische componenten;
26.12;Vervaardiging van elektronische printplaten;
;;
26.2;Vervaardiging van computers en randapparatuur;
26.20;Vervaardiging van computers en randapparatuur;
;;
26.3;Vervaardiging van communicatieapparatuur;
26.30;Vervaardiging van communicatieapparatuur;
;;
26.4;Vervaardiging van consumentenelektronica;
26.40;Vervaardiging van consumentenelektronica;
;;
26.5;Vervaardiging van meet-, regel-, navigatie- en controleapparatuur en van uurwerken;
26.51;Vervaardiging van meet-, regel-, navigatie- en controleapparatuur;
26.52;Vervaardiging van uurwerken;
;;
26.6;Vervaardiging van bestralingsapparatuur en van elektromedische en elektrotherapeutische apparatuur;
26.60;Vervaardiging van bestralingsapparatuur en van elektromedische en elektrotherapeutische apparatuur;
;;
26.7;Vervaardiging van optische instrumenten en apparatuur;
26.70;Vervaardiging van optische instrumenten en apparatuur;
;;
26.8;Vervaardiging van informatiedragers;
26.80;Vervaardiging van informatiedragers;
;;
;;
27;Vervaardiging van elektrische apparatuur;
;;
27.1;Vervaardiging van elektromotoren, elektrische generatoren en transformatoren en van schakel- en verdeelinrichtingen;
27.11;Vervaardiging van elektromotoren,  elektrische generatoren en transformatoren;
27.12;Vervaardiging van schakel- en verdeelinrichtingen;
;;
27.2;Vervaardiging van batterijen en accumulatoren;
27.20;Vervaardiging van batterijen en accumulatoren;
;;
27.3;Vervaardiging van elektrische en elektronische kabels en van schakelaars, stekkers, stopcontacten e.d.;
27.31;Vervaardiging van kabels van optische vezels;
27.32;Vervaardiging van overige elektrische en elektronische kabel;
27.33;Vervaardiging van schakelaars, stekkers, stopcontacten e.d.;
;;
27.4;Vervaardiging van elektrische lampen en verlichtingsapparaten ;
27.40;Vervaardiging van elektrische lampen en verlichtingsapparaten ;
;;
27.5;Vervaardiging van huishoudapparaten;
27.51;Vervaardiging van elektrische huishoudapparaten;
27.52;Vervaardiging van niet-elektrische huishoudapparaten;
;;
27.9;Vervaardiging van overige elektrische apparatuur;
27.90;Vervaardiging van overige elektrische apparatuur;
;;
;;
28;Vervaardiging van overige machines en apparaten;
;;
28.1;Vervaardiging van motoren, turbines, pompen, compressoren, appendages en drijfwerkelementen;
28.11;Vervaardiging van motoren en turbines (niet voor vliegtuigen, motorvoertuigen en bromfietsen);
28.12;Vervaardiging van hydraulische apparatuur;
28.13;Vervaardiging van niet-hydraulische pompen en compressoren;
28.14;Vervaardiging van appendages;
28.15;Vervaardiging van tandwielen, lagers en overige drijfwerkelementen;
;;
28.2;Vervaardiging van overige machines en apparaten voor algemeen gebruik;
28.21;Vervaardiging van industriële ovens en branders;
28.22;Vervaardiging van hijs-, hef- en transportwerktuigen;
28.23;Vervaardiging van kantoormachines en -apparatuur (geen computers en randapparatuur);
28.24;Vervaardiging van pneumatisch en elektrisch handgereedschap ;
28.25;Vervaardiging van machines en apparaten voor industriële  koeltechniek en  klimaatregeling;
28.29;Vervaardiging van  overige machines en apparaten voor algemeen gebruik (rest);
;;
28.3;Vervaardiging van machines en werktuigen voor de land- en bosbouw;
28.30;Vervaardiging van machines en werktuigen voor de land- en bosbouw;
;;
28.4;Vervaardiging van gereedschapswerktuigen ;
28.41;Vervaardiging van gereedschapswerktuigen voor metaalbewerking;
28.49;Vervaardiging van  gereedschapswerktuigen niet voor metaalbewerking;
;;
28.9;Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden;
28.91;Vervaardiging van machines voor de metallurgie;
28.92;Vervaardiging van machines voor de bouw en winning van delfstoffen;
28.93;Vervaardiging van machines voor de productie van voedings- en genotmiddelen;
28.94;Vervaardiging van machines voor de productie van textiel, kleding en leer;
28.95;Vervaardiging van machines voor de productie van papier en karton;
28.96;Vervaardiging van machines voor de kunststof- en rubberindustrie;
28.99;Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden (rest);
;;
;;
29;Vervaardiging van auto's, aanhangwagens en opleggers;
;;
29.1;Vervaardiging van auto's;
29.10;Vervaardiging van auto's;
;;
29.2;"Carrosseriebouw; vervaardiging van aanhangwagens en opleggers";
29.20;"Carrosseriebouw; vervaardiging van aanhangwagens en opleggers";
29.20.1;Carrosseriebouw;
29.20.2;Vervaardiging van aanhangwagens en opleggers;
;;
29.3;Vervaardiging van onderdelen en toebehoren voor auto's ;
29.31;Vervaardiging van elektrische en elektronische onderdelen en toebehoren  voor auto's ;
29.32;Vervaardiging van niet-elektrische en -elektronische  onderdelen en toebehoren voor auto's;
;;
;;
30;Vervaardiging van overige transportmiddelen;
;;
30.1;Scheepsbouw;
30.11;Bouw van schepen en drijvend materieel (geen sport- en recreatievaartuigen) ;
30.12;Bouw van sport- en recreatievaartuigen ;
;;
30.2;Vervaardiging van rollend spoor- en tramwegmaterieel;
30.20;Vervaardiging van rollend spoor- en tramwegmaterieel ;
;;
30.3;Vervaardiging van vliegtuigen en onderdelen daarvoor;
30.30;Vervaardiging van vliegtuigen en onderdelen daarvoor;
;;
30.4;Vervaardiging van militaire gevechtsvoertuigen;
30.40;Vervaardiging van militaire gevechtsvoertuigen;
;;
30.9;Vervaardiging van transportmiddelen (rest);
30.91;Vervaardiging van motor- en bromfietsen;
30.92;Vervaardiging van fietsen en invalidenwagens;
30.99;Vervaardiging van overige transportmiddelen (rest);
;;
;;
31;Vervaardiging van meubels;
;;
31.0;Vervaardiging van meubels;
31.01;Interieurbouw en vervaardiging van bedrijfsmeubels;
31.01.1;Interieurbouw;
31.01.2;Vervaardiging van bedrijfsmeubels;
31.02;Vervaardiging van keukenmeubels;
31.03;Vervaardiging van matrassen;
31.09;Vervaardiging van overige meubels;
;;
;;
32;Vervaardiging van overige goederen;
;;
32.1;"Slaan van munten; bewerken van edelstenen en vervaardiging van sieraden e.d.";
32.11;Slaan van munten en medailles;
32.12;Bewerken van edelstenen en vervaardiging van sieraden e.d. (geen imitatie);
32.13;Vervaardiging van imitatiesieraden ;
;;
32.2;Vervaardiging van muziekinstrumenten;
32.20;Vervaardiging van muziekinstrumenten;
;;
32.3;Vervaardiging van sportartikelen;
32.30;Vervaardiging van sportartikelen;
;;
32.4;Vervaardiging van speelgoed en spellen;
32.40;Vervaardiging van speelgoed en spellen;
32.5;Vervaardiging van medische instrumenten en hulpmiddelen;
32.50;Vervaardiging van medische instrumenten en hulpmiddelen;
32.50.1;Tandtechnische bedrijven;
32.50.2;Vervaardiging van medische instrumenten en hulpmiddelen (geen tandtechniek);
;;
32.9;Vervaardiging van overige goederen;
32.91;Vervaardiging van borstelwaren;
32.99;Sociale werkvoorziening en vervaardiging van overige goederen (rest);
32.99.1;Sociale werkvoorziening;
32.99.9;Vervaardiging van overige goederen (rest);
;;
;  ;
33;Reparatie en installatie van machines en apparaten;
;;
33.1;Reparatie van producten van metaal, machines en apparatuur;
33.11;Reparatie van producten van metaal;
33.12;Reparatie en onderhoud van machines;
33.12.1;Reparatie en onderhoud van machines voor algemeen gebruik en machine-onderdelen (geen gereedschap);
33.12.2;Reparatie en onderhoud van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen;
33.12.3;Reparatie en onderhoud van machines voor een specifieke bedrijfstak;
33.13;Reparatie van elektronische en optische apparatuur;
33.14;Reparatie van elektrische apparatuur;
33.15;Reparatie en onderhoud van schepen;
33.16;Reparatie en onderhoud van vliegtuigen;
33.17;Reparatie en onderhoud van overige transportmiddelen;
33.19;Reparatie van overige apparatuur;
;;
33.2;Installatie van industriële machines en apparatuur;
33.21;Installatie van ketels en tanks;
33.22;Installatie van industriële machines;
33.22.1;Installatie van machines voor algemeen gebruik (geen gereedschap);
33.22.2;Installatie van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen;
33.22.3;Installatie van machines voor een specifieke bedrijfstak;
33.23;Installatie van elektronische en optische apparatuur;
33.24;Installatie van elektrische apparatuur;
33.29;Installatie van overige toebehoren;
;;
;;
D;Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht ;
;;
35;Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht;
;;
35.1;"Productie van elektriciteit; transmissie en distributie van elektriciteit en aardgas";
35.11;Productie van elektriciteit;
35.11.1;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales;
35.11.2;Productie van elektriciteit door windenergie ;
35.11.3;Productie van elektriciteit door zonnecellen, warmtepompen en waterkracht;
35.12;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water;
35.13;Distributie van elektriciteit en gasvormige brandstoffen via leidingen;
35.14;Handel in elektriciteit en in gas via leidingen;
;;
35.2;Productie van aardgas;
35.20;Productie van aardgas;
35.3;Productie en distributie van stoom en gekoelde lucht;
35.30;Productie en distributie van stoom en gekoelde lucht;
;;
;;
E;"Winning en distributie van water; afval- en afvalwaterbeheer en sanering ";
;;
36;Winning en distributie van water;
;;
36.0;Winning en distributie van water;
36.00;Winning en distributie van water;
;;
;;
37;Afvalwaterinzameling en -behandeling;
;;
37.0;Afvalwaterinzameling en -behandeling;
37.00;Afvalwaterinzameling en -behandeling;
;;
;;
38;"Afvalinzameling en -behandeling; voorbereiding tot recycling";
;;
38.1;Inzameling van afval;
38.11;Inzameling van onschadelijk afval;
38.12;Inzameling van schadelijk afval;
;;
38.2;Behandeling van afval;
38.21;Behandeling van onschadelijk afval;
38.22;Behandeling van schadelijk afval;
;;
38.3;Voorbereiding tot recycling;
38.31;Sloop van schepen, witgoed, computers e.d. ;
38.32;Gesorteerd materiaal voorbereiden tot recycling;
;;
;;
39;Sanering en overig afvalbeheer;
;;
39.0;Sanering en overig afvalbeheer;
39.00;Sanering en overig afvalbeheer;
;;
;;
F;Bouwnijverheid;
;;
41;Algemene burgerlijke en utiliteitsbouw en projectontwikkeling;
;;
41.1;Projectontwikkeling;
41.10;Projectontwikkeling;
;;
41.2;Algemene burgerlijke en utiliteitsbouw;
41.20;Algemene burgerlijke en utiliteitsbouw;
;;
;;
42;Grond-, water- en wegenbouw (geen grondverzet) ;
42.1;Bouw van wegen, spoorwegen en kunstwerken;
42.11;Wegenbouw en stratenmaken;
42.11.1;Wegenbouw;
42.11.2;Stratenmaken;
42.12;Bouw van boven- en ondergrondse spoorwegen;
42.13;Bouw van kunstwerken;
;;
42.2;Leggen van kabels en buizen ;
42.21;"Leggen van rioleringen, buizen en pijpleidingen; aanleg van bronbemaling";
42.22;Leggen van elektriciteits- en telecommunicatiekabels ;
;;
42.9 ;Bouw van overige civieltechnische werken;
42.91;Natte waterbouw;
42.99;Bouw van overige civieltechnische werken (rest);
;;
;;
43;Gespecialiseerde werkzaamheden in de bouw;
;;
43.1;Slopen van bouwwerken, grondverzet en proefboren;
43.11;Slopen van bouwwerken;
43.12;Grondverzet;
43.13;Proefboren;
;;
43.2;Bouwinstallatie;
43.21;Elektrotechnische bouwinstallatie;
43.22;"Loodgieters- en fitterswerk; installatie van sanitair en van verwarmings- en luchtbehandelingsapparatuur";
43.22.1;"Loodgieters- en fitterswerk; installatie van sanitair ";
