SBI;Omschrijving
2020;Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën
2030;Vervaardiging van verf, vernis e.d., drukinkt en mastiek
2041; Vervaardiging van zeep, wasmiddelen, poets- en reinigingsmiddelen
2042;Vervaardiging van parfums en cosmetica
2051;Vervaardiging van kruit en springstoffen en van lucifers
2052;Vervaardiging van lijm en bereide kleefmiddelen
2053;Vervaardiging van etherische oliën
2059;Vervaardiging van  overige chemische producten n.e.g.
2060;Vervaardiging van synthetische en kunstmatige vezels
2110;Vervaardiging van farmaceutische grondstoffen
2120;Vervaardiging van farmaceutische producten (geen grondstoffen)
2211;Vervaardiging van rubberbanden en loopvlakvernieuwing
2219;Vervaardiging van producten van rubber (geen banden)
2221;Vervaardiging van platen, folie, buizen en profielen van kunststof
2222;Vervaardiging van verpakkingsmiddelen van kunststof
2223;Vervaardiging van kunststofproducten voor de bouw
2229;Vervaardiging van overige producten van kunststof
2311;Vervaardiging van vlakglas
2312;Vormen en bewerken van vlakglas
2313;Vervaardiging van holglas
2314;Vervaardiging van glasvezels
2319;Vervaardiging en bewerking van overig  glas,  inclusief technisch glaswerk
2320;Vervaardiging van vuurvaste keramische  producten
2331;Vervaardiging van keramische tegels en plavuizen
2332;Vervaardiging van  keramische producten voor de bouw (geen tegels en plavuizen)
2341;Vervaardiging van huishoudelijk en sieraardewerk
2342;Vervaardiging van sanitair aardewerk
2343;Vervaardiging van isolatoren en isolatiemateriaal van keramische stoffen
2344;Vervaardiging van overig technisch aardewerk
2349;Vervaardiging van overige keramische producten n.e.g.
2351;Vervaardiging van cement
2352;Vervaardiging van kalk en gips
23611;Vervaardiging van producten van beton voor de bouw
23612;Vervaardiging voor de bouw van kalkzandsteen en cellenbeton
2362;Vervaardiging van producten van gips voor de bouw
2363;Vervaardiging van stortklare beton
2364;Vervaardiging van mortel in droge vorm
2365;Vervaardiging van producten van vezelcement
2369;Vervaardiging van overige producten van beton, gips en cement
2370;Natuursteenbewerking
2391;Vervaardiging van schuur-, slijp- en polijstmiddelen
2399;Vervaardiging van overige niet-metaalhoudende minerale producten (geen schuur-, slijp- en polijstmiddelen)
2410;Vervaardiging van ijzer en staal en van ferrolegeringen
2420;Vervaardiging van stalen buizen, pijpen, holle profielen en fittings daarvoor
2431;Koudtrekken van staven
2432;Koudwalsen van bandstaal
2433;Koudvervormen en koudfelsen
2434;Koudtrekken van draad
2441;Vervaardiging van edelmetalen
2442;Vervaardiging van aluminium
2443;Vervaardiging van lood, zink en tin
2444;Vervaardiging van koper
2445;Vervaardiging van overige non-ferrometalen
2446;Smelten en raffineren van uranium
2451;Gieten van ijzer 
2452;Gieten van staal
2453;Gieten van lichte metalen
2454;Gieten van overige  non-ferrometalen
2511;Vervaardiging van metalen constructiewerken en delen daarvan
2512;Vervaardiging van metalen deuren, vensters en kozijnen
2521;Vervaardiging van ketels en radiatoren voor centrale verwarming
2529;Vervaardiging van metalen tanks en reservoirs
2530;Vervaardiging van stoomketels (geen ketels voor centrale verwarming)
2540;Vervaardiging van wapens en munitie
2550;"Smeden, persen, stampen en profielwalsen van metaal; poedermetallurgie"
2561;Oppervlaktebehandeling en bekleding van metaal
2562;Algemene metaalbewerking
2571;Vervaardiging van scharen, messen en bestek
2572;Vervaardiging van hang- en sluitwerk
2573;Vervaardiging van gereedschap
2591;Vervaardiging van stalen vaten e.d.
2592;Vervaardiging van verpakkingsmiddelen van licht metaal
2593;Vervaardiging van artikelen van draad en van kettingen en veren
2594;Vervaardiging van bouten, schroeven en moeren
2599;Vervaardiging van overige producten van metaal n.e.g.
2611;Vervaardiging van elektronische componenten
2612;Vervaardiging van elektronische printplaten
2620;Vervaardiging van computers en randapparatuur
2630;Vervaardiging van communicatieapparatuur
2640;Vervaardiging van consumentenelektronica
2651;Vervaardiging van meet-, regel-, navigatie- en controleapparatuur
2652;Vervaardiging van uurwerken
2660;Vervaardiging van bestralingsapparatuur en van elektromedische en elektrotherapeutische apparatuur
2670;Vervaardiging van optische instrumenten en apparatuur
2680;Vervaardiging van informatiedragers
2711;Vervaardiging van elektromotoren,  elektrische generatoren en transformatoren
2712;Vervaardiging van schakel- en verdeelinrichtingen
2720;Vervaardiging van batterijen en accumulatoren
2731;Vervaardiging van kabels van optische vezels
2732;Vervaardiging van overige elektrische en elektronische kabel
2733;Vervaardiging van schakelaars, stekkers, stopcontacten e.d.
2740;Vervaardiging van elektrische lampen en verlichtingsapparaten 
2751;Vervaardiging van elektrische huishoudapparaten
2752;Vervaardiging van niet-elektrische huishoudapparaten
2790;Vervaardiging van overige elektrische apparatuur
2811;Vervaardiging van motoren en turbines (niet voor vliegtuigen, motorvoertuigen en bromfietsen)
2812;Vervaardiging van hydraulische apparatuur
2813;Vervaardiging van niet-hydraulische pompen en compressoren
2814;Vervaardiging van appendages
2815;Vervaardiging van tandwielen, lagers en overige drijfwerkelementen
2821;Vervaardiging van industriële ovens en branders
2822;Vervaardiging van hijs-, hef- en transportwerktuigen
2823;Vervaardiging van kantoormachines en -apparatuur (geen computers en randapparatuur)
2824;Vervaardiging van pneumatisch en elektrisch handgereedschap 
2825;Vervaardiging van machines en apparaten voor industriële  koeltechniek en  klimaatregeling
2829;Vervaardiging van overige machines en apparaten voor algemeen gebruik n.e.g.
2830;Vervaardiging van machines en werktuigen voor de land- en bosbouw
2841;Vervaardiging van gereedschapswerktuigen voor metaalbewerking
2849;Vervaardiging van  gereedschapswerktuigen niet voor metaalbewerking
2891;Vervaardiging van machines voor de metallurgie
2892;Vervaardiging van machines voor de bouw en winning van delfstoffen
2893;Vervaardiging van machines voor de productie van voedings- en genotmiddelen
2894;Vervaardiging van machines voor de productie van textiel, kleding en leer
2895;Vervaardiging van machines voor de productie van papier en karton
2896;Vervaardiging van machines voor de kunststof- en rubberindustrie
2899;Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden n.e.g.
2910;Vervaardiging van auto's
29201;Carrosseriebouw
29202;Vervaardiging van aanhangwagens en opleggers
2931;Vervaardiging van elektrische en elektronische onderdelen en toebehoren  voor auto's 
2932;Vervaardiging van niet-elektrische en -elektronische  onderdelen en toebehoren voor auto's
3011;Bouw van schepen en drijvend materieel (geen sport- en recreatievaartuigen) 
3012;Bouw van sport- en recreatievaartuigen 
3020;Vervaardiging van rollend spoor- en tramwegmaterieel 
3030;Vervaardiging van vliegtuigen en onderdelen daarvoor
3040;Vervaardiging van militaire gevechtsvoertuigen
3091;Vervaardiging van motor- en bromfietsen
3092;Vervaardiging van fietsen en invalidenwagens
3099;Vervaardiging van overige transportmiddelen n.e.g.
31011;Interieurbouw
31012;Vervaardiging van bedrijfsmeubels
3102;Vervaardiging van keukenmeubels
3103;Vervaardiging van matrassen
3109;Vervaardiging van overige meubels
3211;Slaan van munten en medailles
3212;Bewerken van edelstenen en vervaardiging van sieraden e.d. (geen imitatie)
3213;Vervaardiging van imitatiesieraden 
3220;Vervaardiging van muziekinstrumenten
3230;Vervaardiging van sportartikelen
3240;Vervaardiging van speelgoed en spellen
32501;Tandtechnische bedrijven
32502;Vervaardiging van medische instrumenten en hulpmiddelen (geen tandtechniek)
3291;Vervaardiging van borstelwaren
32991;Sociale werkvoorziening
32999;Vervaardiging van overige goederen n.e.g.
3311;Reparatie van producten van metaal
33121;Reparatie en onderhoud van machines voor algemeen gebruik en machine-onderdelen (geen gereedschap)
33122;Reparatie en onderhoud van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen
33123;Reparatie en onderhoud van machines voor een specifieke bedrijfstak
3313;Reparatie van elektronische en optische apparatuur
3314;Reparatie van elektrische apparatuur
3315;Reparatie en onderhoud van schepen
3316;Reparatie en onderhoud van vliegtuigen
3317;Reparatie en onderhoud van overige transportmiddelen
3319;Reparatie van overige apparatuur
3321;Installatie van ketels en tanks
33221;Installatie van machines voor algemeen gebruik (geen gereedschap)
33222;Installatie van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen
33223;Installatie van machines voor een specifieke bedrijfstak
3323;Installatie van elektronische en optische apparatuur
3324;Installatie van elektrische apparatuur
3329;Installatie van overige toebehoren
35111;Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales
35112;Productie van elektriciteit door windenergie 
35113;Productie van elektriciteit door zonnecellen, warmtepompen en waterkracht
3512;Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water
3513;Distributie van elektriciteit en gasvormige brandstoffen via leidingen
3514;Handel in elektriciteit en in gas via leidingen
3520;Productie van aardgas
3530;Productie en distributie van stoom en gekoelde lucht
3600;Winning en distributie van water
3700;Afvalwaterinzameling en -behandeling
3811;Inzameling van onschadelijk afval
3812;Inzameling van schadelijk afval
3821;Behandeling van onschadelijk afval
3822;Behandeling van schadelijk afval
3831;Sloop van schepen, witgoed, computers e.d. 
3832;Gesorteerd materiaal voorbereiden tot recycling
3900;Sanering en overig afvalbeheer
4110;Projectontwikkeling
4120;Algemene burgerlijke en utiliteitsbouw
42111;Wegenbouw
42112;Stratenmaken
4212;Bouw van boven- en ondergrondse spoorwegen
4213;Bouw van kunstwerken
4221;"Leggen van rioleringen, buizen en pijpleidingen; aanleg van bronbemaling"
4222;Leggen van elektriciteits- en telecommunicatiekabels 
4291;Natte waterbouw
4299;Bouw van overige civieltechnische werken n.e.g.
4311;Slopen van bouwwerken
4312;Grondverzet
4313;Proefboren
4321;Elektrotechnische bouwinstallatie
43221;"Loodgieters- en fitterswerk; installatie van sanitair "
43222;Installatie van verwarmings- en luchtbehandelingsapparatuur
4329;Overige bouwinstallatie
4331;Stukadoren
4332;Bouwtimmeren
4333;Afwerking van vloeren en wanden 
4334;Schilderen en glaszetten
4339;Overige afwerking van gebouwen
4391;Dakdekken en bouwen van dakconstructies 
43991;Heien en andere funderingswerkzaamheden
43992;Vlechten van betonstaal
43993;Metselen en voegen
43999;Overige gespecialiseerde werkzaamheden in de bouw n.e.g.
45111;Import van nieuwe personenauto's en lichte bedrijfsauto's
45112;Handel in en reparatie van personenauto's en lichte bedrijfsauto's (geen import van nieuwe)
4519;Handel in en reparatie van zwaardere bedrijfsauto's, aanhangers en caravans
45191;Import van nieuwe bedrijfsauto's
45192;Handel in en reparatie van zwaardere bedrijfsauto's (geen import van nieuwe) 
45193;Handel in en reparatie van aanhangwagens en opleggers (geen caravans)
45194;Handel in en reparatie van caravans
45201;Auto-onderdelenservicebedrijven
45202;Bandenservicebedrijven
45203;Reparatie van specifieke auto-onderdelen
45204;Carrosserieherstel
45205;"Overige gespecialiseerde reparatie; wassen en slepen van auto's"
45311;Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires (geen banden)
45312;Groothandel en handelsbemiddeling in banden
4532;Detailhandel in auto-onderdelen en -accessoires
45401;Groothandel en handelsbemiddeling in motorfietsen en onderdelen daarvan
45402;Detailhandel in en reparatie van motorfietsen en onderdelen daarvan
4611;Handelsbemiddeling in landbouwproducten, levende dieren en grondstoffen voor textiel en voedingsmiddelen
4612;Handelsbemiddeling in brandstoffen, ertsen, metalen en chemische producten 
4613;Handelsbemiddeling in hout, vlakglas, sanitair en bouwmaterialen 
4614;Handelsbemiddeling in machines, technische benodigdheden, schepen en vliegtuigen
4615;Handelsbemiddeling in meubels, huishoudelijke artikelen en ijzerwaren 
4616;Handelsbemiddeling in textiel, kleding, schoeisel en lederwaren
4617;Handelsbemiddeling in voedings- en genotmiddelen
4618;Handelsbemiddeling gespecialiseerd in overige goederen
4619;Niet-gespecialiseerde handelsbemiddeling 
46211;Groothandel in granen                                                  
46212;Groothandel in zaden, pootgoed en peulvruchten 
46213;Groothandel in hooi, stro en ruwvoeder 
46214;Groothandel in meng- en krachtvoeder 
46215;Groothandel in veevoeder (geen ruw-, meng- en krachtvoeder) 
46216;Groothandel in ruwe plantaardige en dierlijke oliën en vetten en oliehoudende grondstoffen
46217;Groothandel in ruwe tabak
46218;Groothandel in akkerbouwproducten en veevoeder algemeen assortiment
46219;Groothandel in overige akkerbouwproducten  
4622;Groothandel in bloemen en planten
46231;Groothandel in levend vee
46232;Groothandel in huisdieren, siervissen, siervogels en wilde dieren
46241;Groothandel in huiden en vellen
46242;Groothandel in leer en halffabrikaten van leer
46311;Groothandel in groenten en fruit
46312;Groothandel in consumptie-aardappelen
4632;Groothandel in vlees en vleeswaren en in wild en gevogelte (niet levend)
46331;Groothandel in zuivelproducten en spijsoliën en -vetten
46332;Groothandel in eieren
4634;Groothandel in dranken (geen zuivel)
4635;Groothandel in tabaksproducten en rokersbenodigdheden
4636;Groothandel in suiker, chocolade en suikerwerk
4637;Groothandel in koffie, thee, cacao en specerijen (geen ruwe)
46381;Groothandel in snacks 
46382;Groothandel in vis, schaal- en weekdieren 
46383;Gespecialiseerde groothandel in overige voedings- en genotmiddelen n.e.g.
46384;Groothandel in bakkerijgrondstoffen 
46389;Gespecialiseerde groothandel in overige grondstoffen en halffabrikaten voor de voedingsmiddelenindustrie n.e.g.
4639;Groothandel in voedings- en genotmiddelen algemeen assortiment
46411;Groothandel in kledingstoffen en fournituren
46412;Groothandel in huishoudtextiel en beddengoed
46421;Groothandel in bovenkleding
46422;Groothandel in werkkleding
46423;Groothandel in onderkleding
46424;Groothandel in schoenen
46425;Groothandel in mode-artikelen
46429;Groothandel in textielwaren algemeen assortiment
46431;Groothandel in witgoed 
46432;Groothandel in elektrische huishoudelijke apparatuur (geen witgoed, audio en video)
46433;Groothandel in audio- en video-apparatuur 
46434;Groothandel in fotografische artikelen      
46435;Groothandel in beeld- en geluidsdragers
46436;Groothandel in optische artikelen
46441;Groothandel in glas, porselein en aardewerk
46442;Groothandel in was-, poets- en reinigingsmiddelen
4645;Groothandel in parfums en cosmetica
46461;Groothandel in farmaceutische producten
46462;Groothandel in medische en tandheelkundige instrumenten, verpleeg- en orthopedische artikelen en laboratoriumbenodigdheden
46471;Groothandel in huismeubilair
46472;Groothandel in woningtextiel en vloerbedekking
46473;Groothandel in verlichtingsartikelen
4648;Groothandel in juweliersartikelen en uurwerken
46491;Groothandel in fietsen en bromfietsen
46492;Groothandel in watersportartikelen
46493;Groothandel in kampeerartikelen (geen caravans)
46494;Groothandel in speelgoed
46495;Groothandel in muziekinstrumenten
46496;Groothandel in sportartikelen (geen watersport)
46497;Groothandel in papier- en kartonwaren (geen verpakkingsmateriaal)
46498;Groothandel in boeken, tijdschriften en overig drukwerk
46499;Groothandel in overige consumentenartikelen (non-food) n.e.g. 
4651;Groothandel in computers, randapparatuur en software
4652;Groothandel in elektronische en telecommunicatieapparatuur en bijbehorende onderdelen
4661;Groothandel in landbouwmachines, werktuigen en tractoren
4662;Groothandel in gereedschapswerktuigen
4663;Groothandel in machines voor de bouw
4664;Groothandel in machines voor de textielindustrie en in naai- en breimachines
4665;Groothandel in bedrijfsmeubels
4666;Groothandel in kantoormachines (geen computers)
46681;Groothandel in machines voor de grafische industrie
46682;Groothandel in machines voor de voedings- en genotmiddelenindustrie
46691;Groothandel in intern transportmaterieel
46692;Groothandel in machines en apparaten voor de warmte-, koel- en vriestechniek
46693;Groothandel in verbrandingsmotoren, pompen en compressoren
46694;Groothandel in appendages, technische toebehoren e.d.
46695;Groothandel in meet- en regelapparaten
46696;Groothandel in emballage
46697;Groothandel in scheepsbenodigdheden en visserij-artikelen
46699;Groothandel in overige machines, apparaten en toebehoren voor industrie en handel n.e.g.
46711;Groothandel in vaste brandstoffen 
46712;Groothandel in vloeibare en gasvormige brandstoffen
46713;Groothandel in minerale olieproducten (geen brandstoffen)
46721;Groothandel in metaalertsen
46722;Groothandel in ferrometalen en -halffabrikaten
46723;Groothandel in non-ferrometalen en -halffabrikaten
46731;Groothandel in hout en plaatmateriaal
46732;Groothandel in verf en verfwaren
46733;Groothandel in behang
46734;Groothandel in vlakglas
46735;Groothandel in zand en grind
46736;Groothandel in tegels en plavuizen
46737;Groothandel in sanitaire artikelen en sanitair installatiemateriaal 
46738;Groothandel gespecialiseerd in overige bouwmaterialen
46739;Groothandel in bouwmaterialen algemeen assortiment 
46741;Groothandel in ijzer- en metaalwaren
46742;Groothandel in verwarmingsapparaten
46751;Groothandel in chemische grondstoffen en chemicaliën voor industriële toepassing
46752;Groothandel in bestrijdingsmiddelen en meststoffen
46761;Groothandel in textielgrondstoffen en -halffabrikaten
46762;Groothandel in papier en karton
46769;Groothandel in overige intermediaire producten n.e.g.
46771;Groothandel in autosloopmateriaal
46772;Groothandel in ijzer- en staalschroot en oude non-ferrometalen
46779;Groothandel in overige oude materialen en afvalstoffen
46901;Niet-gespecialiseerde groothandel in consumentenartikelen
46902;Niet-gespecialiseerde groothandel in niet-consumentenartikelen
4711;Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen
47191;Warenhuizen
47192;Winkels met een algemeen assortiment non-food (geen warenhuizen)
4721;Winkels in aardappelen, groenten en fruit 
47221;Winkels in vlees en vleeswaren
47222;Winkels in wild en gevogelte
4723;Winkels in vis
47241;Winkels in brood en banket
47242;Winkels in chocolade en suikerwerk
4725;Winkels in dranken
4726;Winkels in tabaksproducten
47291;Winkels in kaas
47292;Winkels in natuurvoeding en reformartikelen
47293;Winkels in buitenlandse voedingsmiddelen
47299;Gespecialiseerde winkels in overige voedings- en genotmiddelen n.e.g.
4730;Benzinestations
4741;Winkels in computers, randapparatuur en software
4742;Winkels in telecommunicatieapparatuur 
47431;Winkels in audio- en videoapparatuur
47432;Winkels in een algemeen assortiment van wit- en bruingoed 
47511;Winkels in kledingsstoffen
47512;Winkels in  huishoudtextiel
47513;Winkels in breiwol, handwerken en fournituren
47521;Winkels in ijzerwaren en gereedschappen
47522;Winkels in verf, verfwaren en behang
47523;Winkels in houten bouw- en tuinmaterialen
47524;Winkels in tegels
47525;Winkels in keukens
47526;Winkels in parket-, laminaat- en kurkvloeren
47527;Winkels gespecialiseerd in overige doe-het-zelfartikelen  
47528;Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment
4753;Winkels in vloerbedekking en gordijnen 
47541;Winkels in witgoed
47542;Winkels in naai- en breimachines
47543;Winkels in overige elektrische huishoudelijke apparatuur
47544;Winkels in onderdelen voor elektrische huishoudelijke apparatuur
47591;Winkels in meubels
47592;Winkels in verlichtingsartikelen
47593;Winkels in artikelen voor woninginrichting algemeen assortiment
47594;Winkels in muziekinstrumenten
47595;Winkels in glas-, porselein- en aardewerk
47596;Winkels gespecialiseerd in overige huishoudelijke artikelen n.e.g.
47597;Winkels in huishoudelijke artikelen algemeen assortiment
4761;Winkels in boeken 
4762;Winkels in kranten, tijdschriften en kantoorbehoeften 
4763;Winkels in audio- en video-opnamen
47641;Winkels in fietsen en bromfietsen
47642;Winkels in watersportartikelen
47643;Winkels in sportartikelen (geen watersport)
47644;Winkels in kampeerartikelen (geen caravans)
4765;Winkels in speelgoed
47711;Winkels in herenkleding 
47712;Winkels in dameskleding 
47713;Winkels in bovenkleding en mode-artikelen (algemeen assortiment) 
47714;Winkels in baby- en kinderkleding
47715;Winkels in babyartikelen algemeen assortiment
47716;Winkels in onderkleding, foundations e.d.
47717;Winkels in mode-artikelen
47718;Textielsupermarkten
47721;Winkels in schoenen
47722;Winkels in lederwaren en reisartikelen
4773;Apotheken
47741;Winkels in drogisterij-artikelen 
47742;Winkels in medische en orthopedische artikelen  
4775;Winkels in parfums en cosmetica
47761;Winkels in bloemen en planten, zaden en tuinbenodigdheden
47762;Tuincentra
47763;Winkels in dieren, dierbenodigdheden en hengelsportartikelen
4777;Winkels in juweliersartikelen en uurwerken 
47781;Winkels in fotografische artikelen
47782;Winkels in optische artikelen
47783;Winkels in schilderijen, lijsten, prenten, kunstvoorwerpen en religieuze artikelen
47789;Winkels gespecialiseerd in overige artikelen n.e.g.
47791;Winkels in antiek
47792;Winkels in tweedehands kleding
47793;Winkels in tweedehands goederen (geen kleding)
47811;Markthandel in aardappelen, groenten en fruit
47819;Markthandel in overige voedings- en genotmiddelen
4782;Markthandel in textiel, kleding en schoenen
47891;Markthandel in bloemen, planten, zaden en tuinbenodigdheden
47892;Markthandel in tweedehands goederen
47899;Markthandel in overige goederen
47911;Detailhandel via internet in voedingsmiddelen en drogisterijwaren
47912;Detailhandel via internet in consumentenelektronica
47913;Detailhandel via internet in boeken, tijdschriften, cd’s, dvd’s
47914;Detailhandel via internet in kleding en mode-artikelen
47915;Detailhandel via internet in huis- en tuinartikelen
47916;Detailhandel via internet in vrijetijdsartikelen
47918;Detailhandel via internet in overige non-food
47919;Detailhandel via internet in een algemeen assortiment non-food
47991;Colportage
47992;Straathandel
47999;Detailhandel via overige distributievormen
4910;Personenvervoer per spoor (geen tram of metro)
4920;Goederenvervoer per spoor
4931;Openbaar vervoer binnen steden
4932;Vervoer per taxi
49391;Ongeregeld personenvervoer over de weg
49392;Openbaar interlokaal personenvervoer over de weg
49393;Geregeld besloten personenvervoer over de weg
4941;Goederenvervoer over de weg (geen verhuizingen)
4942;Verhuisvervoer
4950;Transport via pijpleidingen
5010;Zee- en kustvaart (passagiersvaart en veerdiensten)
50201;"Zee- en kustvaart (vracht- en tankvaart; geen sleepvaart)"
50202;Zee- en kustsleepvaart 
5030;Binnenvaart (passagiersvaart en veerdiensten)
50401;Binnenvaart (vrachtvaart)
50402;Binnenvaart (tankvaart) 
50403;Binnenvaart (sleep- en duwvaart)
5110;Personenvervoer door de lucht
5121;Goederenvervoer door de lucht
52101;Opslag in tanks
52102;Opslag in koelhuizen e.d.
52109;Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)
5221;Dienstverlening voor vervoer over land
5222;Dienstverlening voor vervoer over water
5223;Dienstverlening voor de luchtvaart
52241;Laad-, los- en overslagactiviteiten voor zeevaart
52242;Laad-, los- en overslagactiviteiten niet voor zeevaart
52291;Expediteurs, cargadoors, bevrachters en andere tussenpersonen in het goederenvervoer
52292;Weging en meting
